ID,ibgeID,name,intermID,imedID,totPop2019
186,3200102,Afonso Cláudio                   ,3201,320002,30586
187,3200136,Águia Branca                     ,3203,320005,9642
188,3200169,Água Doce do Norte               ,3203,320006,11019
189,3200201,Alegre                           ,3204,320008,30084
190,3200300,Alfredo Chaves                   ,3201,320001,14601
191,3200359,Alto Rio Novo                    ,3203,320005,7836
192,3200409,Anchieta                         ,3201,320001,29263
193,3200508,Apiacá                           ,3204,320008,7567
194,3200607,Aracruz                          ,3202,320004,101220
195,3200706,Atílio Vivacqua                  ,3204,320007,11936
196,3200805,Baixo Guandu                     ,3203,320005,30998
197,3200904,Barra de São Francisco           ,3203,320006,44650
198,3201001,Boa Esperança                    ,3202,320003,15037
199,3201100,Bom Jesus do Norte               ,3204,320008,9936
200,3201159,Brejetuba                        ,3201,320002,12404
201,3201209,Cachoeiro de Itapemirim          ,3204,320007,208972
202,3201308,Cariacica                        ,3201,320001,381285
203,3201407,Castelo                          ,3204,320007,37534
204,3201506,Colatina                         ,3203,320005,122499
205,3201605,Conceição da Barra               ,3202,320003,31063
206,3201704,Conceição do Castelo             ,3201,320002,12723
207,3201803,Divino de São Lourenço           ,3204,320008,4304
208,3201902,Domingos Martins                 ,3201,320002,33850
209,3202009,Dores do Rio Preto               ,3204,320008,6749
210,3202108,Ecoporanga                       ,3203,320006,22923
211,3202207,Fundão                           ,3201,320001,21509
212,3202256,Governador Lindenberg            ,3203,320005,12709
213,3202306,Guaçuí                           ,3204,320008,30867
214,3202405,Guarapari                        ,3201,320001,124859
215,3202454,Ibatiba                          ,3204,320008,26082
216,3202504,Ibiraçu                          ,3202,320004,12479
217,3202553,Ibitirama                        ,3204,320008,8889
218,3202603,Iconha                           ,3204,320007,13860
219,3202652,Irupi                            ,3204,320008,13377
220,3202702,Itaguaçu                         ,3203,320005,14066
221,3202801,Itapemirim                       ,3204,320007,34348
222,3202900,Itarana                          ,3201,320002,10555
223,3203007,Iúna                             ,3204,320008,29161
224,3203056,Jaguaré                          ,3202,320003,30477
225,3203106,Jerônimo Monteiro                ,3204,320007,12192
226,3203130,João Neiva                       ,3202,320004,16668
227,3203163,Laranja da Terra                 ,3201,320002,10947
228,3203205,Linhares                         ,3202,320004,173555
229,3203304,Mantenópolis                     ,3203,320005,15350
230,3203320,Marataízes                       ,3204,320007,38499
231,3203346,Marechal Floriano                ,3201,320002,16694
232,3203353,Marilândia                       ,3203,320005,12833
233,3203403,Mimoso do Sul                    ,3204,320007,26153
234,3203502,Montanha                         ,3202,320003,18833
235,3203601,Mucurici                         ,3202,320003,5524
236,3203700,Muniz Freire                     ,3204,320008,17465
237,3203809,Muqui                            ,3204,320007,15449
238,3203908,Nova Venécia                     ,3203,320006,50110
239,3204005,Pancas                           ,3203,320005,23184
240,3204054,Pedro Canário                    ,3202,320003,26184
241,3204104,Pinheiros                        ,3202,320003,27047
242,3204203,Piúma                            ,3201,320001,21711
243,3204252,Ponto Belo                       ,3202,320003,7863
244,3204302,Presidente Kennedy               ,3204,320007,11574
245,3204351,Rio Bananal                      ,3202,320004,19141
246,3204401,Rio Novo do Sul                  ,3204,320007,11622
247,3204500,Santa Leopoldina                 ,3201,320002,12224
248,3204559,Santa Maria de Jetibá            ,3201,320002,40431
249,3204609,Santa Teresa                     ,3201,320002,23590
250,3204658,São Domingos do Norte            ,3203,320005,8638
251,3204708,São Gabriel da Palha             ,3203,320005,37947
252,3204807,São José do Calçado              ,3204,320008,10556
253,3204906,São Mateus                       ,3202,320003,130611
254,3204955,São Roque do Canaã               ,3203,320005,12415
255,3205002,Serra                            ,3201,320001,517510
256,3205010,Sooretama                        ,3202,320004,30070
257,3205036,Vargem Alta                      ,3204,320007,21402
258,3205069,Venda Nova do Imigrante          ,3201,320002,25277
259,3205101,Viana                            ,3201,320001,78239
260,3205150,Vila Pavão                       ,3203,320006,9208
261,3205176,Vila Valério                     ,3203,320005,14080
262,3205200,Vila Velha                       ,3201,320001,493838
263,3205309,Vitória                          ,3201,320001,362097
