ID,ibgeID,name,intermID,imedID,totPop2019
5167,4100103,Abatiá                           ,4105,410022,7457
5168,4100202,Adrianópolis                     ,4101,410001,5919
5169,4100301,Agudos do Sul                    ,4101,410001,9371
5170,4100400,Almirante Tamandaré              ,4101,410001,118623
5171,4100459,Altamira do Paraná               ,4104,410015,1942
5172,4100509,Altônia                          ,4104,410016,22056
5173,4100608,Alto Paraná                      ,4104,410017,14770
5174,4100707,Alto Piquiri                     ,4104,410016,9836
5175,4100806,Alvorada do Sul                  ,4105,410021,11406
5176,4100905,Amaporã                          ,4104,410017,6257
5177,4101002,Ampére                           ,4103,410009,19152
5178,4101051,Anahy                            ,4103,410006,2801
5179,4101101,Andirá                           ,4105,410022,20031
5180,4101150,Ângulo                           ,4104,410014,2928
5181,4101200,Antonina                         ,4101,410002,18980
5182,4101309,Antônio Olinto                   ,4101,410003,7434
5183,4101408,Apucarana                        ,4105,410023,134996
5184,4101507,Arapongas                        ,4105,410021,123027
5185,4101606,Arapoti                          ,4106,410027,28115
5186,4101655,Arapuã                           ,4105,410025,3068
5187,4101705,Araruna                          ,4104,410015,13970
5188,4101804,Araucária                        ,4101,410001,143843
5189,4101853,Ariranha do Ivaí                 ,4105,410025,2108
5190,4101903,Assaí                            ,4105,410021,15119
5191,4102000,Assis Chateaubriand              ,4103,410008,33362
5192,4102109,Astorga                          ,4104,410014,26111
5193,4102208,Atalaia                          ,4104,410014,3892
5194,4102307,Balsa Nova                       ,4101,410001,12941
5195,4102406,Bandeirantes                     ,4105,410024,31367
5196,4102505,Barbosa Ferraz                   ,4104,410015,11568
5197,4102604,Barracão                         ,4103,410009,10275
5198,4102703,Barra do Jacaré                  ,4105,410022,2781
5199,4102752,Bela Vista da Caroba             ,4103,410009,3511
5200,4102802,Bela Vista do Paraíso            ,4105,410021,15397
5201,4102901,Bituruna                         ,4101,410003,16389
5202,4103008,Boa Esperança                    ,4104,410015,4105
5203,4103024,Boa Esperança do Iguaçu          ,4103,410012,2503
5204,4103040,Boa Ventura de São Roque         ,4102,410005,6387
5205,4103057,Boa Vista da Aparecida           ,4103,410006,7591
5206,4103107,Bocaiúva do Sul                  ,4101,410001,12944
5207,4103156,Bom Jesus do Sul                 ,4103,410009,3541
5208,4103206,Bom Sucesso                      ,4105,410023,7032
5209,4103222,Bom Sucesso do Sul               ,4103,410010,3264
5210,4103305,Borrazópolis                     ,4105,410023,6592
5211,4103354,Braganey                         ,4103,410006,5427
5212,4103370,Brasilândia do Sul               ,4104,410016,2651
5213,4103404,Cafeara                          ,4105,410021,2934
5214,4103453,Cafelândia                       ,4103,410006,18120
5215,4103479,Cafezal do Sul                   ,4104,410016,4044
5216,4103503,Califórnia                       ,4105,410023,8570
5217,4103602,Cambará                          ,4105,410022,25360
5218,4103701,Cambé                            ,4105,410021,106533
5219,4103800,Cambira                          ,4105,410023,7865
5220,4103909,Campina da Lagoa                 ,4104,410015,14202
5221,4103958,Campina do Simão                 ,4102,410004,3887
5222,4104006,Campina Grande do Sul            ,4101,410001,43288
5223,4104055,Campo Bonito                     ,4103,410006,3833
5224,4104105,Campo do Tenente                 ,4101,410001,7971
5225,4104204,Campo Largo                      ,4101,410001,132002
5226,4104253,Campo Magro                      ,4101,410001,29318
5227,4104303,Campo Mourão                     ,4104,410015,94859
5228,4104402,Cândido de Abreu                 ,4105,410025,15018
5229,4104428,Candói                           ,4102,410004,15979
5230,4104451,Cantagalo                        ,4102,410004,13317
5231,4104501,Capanema                         ,4103,410009,19124
5232,4104600,Capitão Leônidas Marques         ,4103,410006,15780
5233,4104659,Carambeí                         ,4106,410027,23415
5234,4104709,Carlópolis                       ,4105,410022,14320
5235,4104808,Cascavel                         ,4103,410006,328454
5236,4104907,Castro                           ,4106,410027,71484
5237,4105003,Catanduvas                       ,4103,410006,10189
5238,4105102,Centenário do Sul                ,4105,410021,10827
5239,4105201,Cerro Azul                       ,4101,410001,17779
5240,4105300,Céu Azul                         ,4103,410006,11765
5241,4105409,Chopinzinho                      ,4103,410010,19254
5242,4105508,Cianorte                         ,4104,410018,82620
5243,4105607,Cidade Gaúcha                    ,4104,410016,12652
5244,4105706,Clevelândia                      ,4103,410010,16559
5245,4105805,Colombo                          ,4101,410001,243726
5246,4105904,Colorado                         ,4104,410019,24012
5247,4106001,Congonhinhas                     ,4105,410024,8818
5248,4106100,Conselheiro Mairinck             ,4105,410026,3860
5249,4106209,Contenda                         ,4101,410001,18584
5250,4106308,Corbélia                         ,4103,410006,17071
5251,4106407,Cornélio Procópio                ,4105,410024,47845
5252,4106456,Coronel Domingos Soares          ,4103,410010,7497
5253,4106506,Coronel Vivida                   ,4103,410010,20734
5254,4106555,Corumbataí do Sul                ,4104,410015,3219
5255,4106571,Cruzeiro do Iguaçu               ,4103,410012,4252
5256,4106605,Cruzeiro do Oeste                ,4104,410016,20932
5257,4106704,Cruzeiro do Sul                  ,4104,410019,4469
5258,4106803,Cruz Machado                     ,4101,410003,18708
5259,4106852,Cruzmaltina                      ,4105,410025,2950
5260,4106902,Curitiba                         ,4101,410001,1933105
5261,4107009,Curiúva                          ,4106,410028,15101
5262,4107108,Diamante do Norte                ,4104,410017,5087
5263,4107124,Diamante do Sul                  ,4103,410006,3439
5264,4107157,Diamante D'Oeste                 ,4103,410006,5253
5265,4107207,Dois Vizinhos                    ,4103,410012,40641
5266,4107256,Douradina                        ,4104,410016,8747
5267,4107306,Doutor Camargo                   ,4104,410014,5979
5268,4107405,Enéas Marques                    ,4103,410009,5961
5269,4107504,Engenheiro Beltrão               ,4104,410015,14000
5270,4107520,Esperança Nova                   ,4104,410016,1698
5271,4107538,Entre Rios do Oeste              ,4103,410013,4539
5272,4107546,Espigão Alto do Iguaçu           ,4103,410011,4117
5273,4107553,Farol                            ,4104,410015,3089
5274,4107603,Faxinal                          ,4105,410025,17251
5275,4107652,Fazenda Rio Grande               ,4101,410001,100209
5276,4107702,Fênix                            ,4104,410015,4762
5277,4107736,Fernandes Pinheiro               ,4106,410029,5646
5278,4107751,Figueira                         ,4105,410026,7770
5279,4107801,Floraí                           ,4104,410014,4929
5280,4107850,Flor da Serra do Sul             ,4103,410009,4624
5281,4107900,Floresta                         ,4104,410014,6774
5282,4108007,Florestópolis                    ,4105,410021,10548
5283,4108106,Flórida                          ,4104,410014,2689
5284,4108205,Formosa do Oeste                 ,4103,410008,6578
5285,4108304,Foz do Iguaçu                    ,4103,410007,258532
5286,4108320,Francisco Alves                  ,4104,410016,6046
5287,4108403,Francisco Beltrão                ,4103,410009,91093
5288,4108452,Foz do Jordão                    ,4102,410004,4650
5289,4108502,General Carneiro                 ,4101,410003,13710
5290,4108551,Godoy Moreira                    ,4105,410025,2946
5291,4108601,Goioerê                          ,4104,410015,28884
5292,4108650,Goioxim                          ,4102,410004,7111
5293,4108700,Grandes Rios                     ,4105,410025,5618
5294,4108809,Guaíra                           ,4103,410008,33119
5295,4108908,Guairaçá                         ,4104,410017,6581
5296,4108957,Guamiranga                       ,4102,410004,8739
5297,4109005,Guapirama                        ,4105,410022,3802
5298,4109104,Guaporema                        ,4104,410018,2243
5299,4109203,Guaraci                          ,4105,410021,5502
5300,4109302,Guaraniaçu                       ,4103,410006,12472
5301,4109401,Guarapuava                       ,4102,410004,181504
5302,4109500,Guaraqueçaba                     ,4101,410002,7636
5303,4109609,Guaratuba                        ,4101,410002,37067
5304,4109658,Honório Serpa                    ,4103,410010,5211
5305,4109708,Ibaiti                           ,4105,410026,31364
5306,4109757,Ibema                            ,4103,410006,6352
5307,4109807,Ibiporã                          ,4105,410021,54558
5308,4109906,Icaraíma                         ,4104,410016,7904
5309,4110003,Iguaraçu                         ,4104,410014,4404
5310,4110052,Iguatu                           ,4103,410006,2256
5311,4110078,Imbaú                            ,4106,410028,13111
5312,4110102,Imbituva                         ,4106,410029,32564
