date,ibgeID,newCases,newDeaths,city,totalCases,totalDeaths
2020-04-01,3200102,0,0,Afonso Cláudio,2,0
2020-04-01,3200300,0,0,Alfredo Chaves,1,0
2020-04-01,3200409,0,0,Anchieta,1,0
2020-04-01,3200607,1,0,Aracruz,11,0
2020-04-01,3201001,0,0,Boa Esperança,1,0
2020-04-01,3201159,0,0,Brejetuba,1,0
2020-04-01,3201209,2,0,Cachoeiro de Itapemirim,9,0
2020-04-01,3201308,7,0,Cariacica,38,0
2020-04-01,3201407,0,0,Castelo,5,0
2020-04-01,3201506,1,0,Colatina,7,0
2020-04-01,3201902,0,0,Domingos Martins,1,0
2020-04-01,3202207,0,0,Fundão,2,0
2020-04-01,3202306,0,0,Guaçuí,1,0
2020-04-01,3202405,1,0,Guarapari,8,0
2020-04-01,3202504,1,0,Ibiraçu,2,0
2020-04-01,3202801,0,0,Itapemirim,1,0
2020-04-01,3203205,1,1,Linhares,17,1
2020-04-01,3203320,0,0,Marataízes,1,0
2020-04-01,3203346,0,0,Marechal Floriano,2,0
2020-04-01,3203908,0,0,Nova Venécia,2,0
2020-04-01,3204203,1,0,Piúma,1,0
2020-04-01,3204302,1,0,Presidente Kennedy,2,0
2020-04-01,3204401,0,0,Rio Novo do Sul,1,0
2020-04-01,3204609,2,0,Santa Teresa,4,0
2020-04-01,3204708,0,0,São Gabriel da Palha,1,0
2020-04-01,3204906,0,0,São Mateus,11,0
2020-04-01,3204955,0,0,São Roque do Canaã,2,0
2020-04-01,3205002,32,1,Serra,122,1
2020-04-01,3205010,0,0,Sooretama,2,0
2020-04-01,3205069,0,0,Venda Nova do Imigrante,1,0
2020-04-01,3205101,1,0,Viana,7,0
2020-04-01,3205200,19,1,Vila Velha,117,1
2020-04-01,3205309,11,1,Vitória,121,1
2020-04-02,3200102,0,0,Afonso Cláudio,2,0
2020-04-02,3200300,0,0,Alfredo Chaves,1,0
2020-04-02,3200409,0,0,Anchieta,1,0
2020-04-02,3200607,1,0,Aracruz,12,0
2020-04-02,3201001,0,0,Boa Esperança,1,0
2020-04-02,3201159,0,0,Brejetuba,1,0
2020-04-02,3201209,1,0,Cachoeiro de Itapemirim,10,0
2020-04-02,3201308,6,0,Cariacica,44,0
2020-04-02,3201407,1,0,Castelo,6,0
2020-04-02,3201506,2,0,Colatina,9,0
2020-04-02,3201902,0,0,Domingos Martins,1,0
2020-04-02,3202207,0,0,Fundão,2,0
2020-04-02,3202306,0,0,Guaçuí,1,0
2020-04-02,3202405,0,0,Guarapari,8,0
2020-04-02,3202504,0,0,Ibiraçu,2,0
2020-04-02,3202801,1,0,Itapemirim,2,0
