date,ibgeID,newCases,newDeaths,city,totalCases,deaths
2020-04-01,1302603,20,0,Manaus,179,2
2020-04-02,1302603,26,0,Manaus,205,2
2020-04-03,1302603,27,3,Manaus,232,5
2020-04-04,1302603,51,4,Manaus,283,9
2020-04-05,1302603,96,2,Manaus,379,11
2020-04-06,1302603,94,4,Manaus,473,15
2020-04-07,1302603,87,4,Manaus,560,19
2020-04-08,1302603,152,6,Manaus,712,25
2020-04-09,1302603,88,8,Manaus,800,33
2020-04-10,1302603,63,9,Manaus,863,42
2020-04-11,1302603,69,3,Manaus,932,45
2020-04-12,1302603,121,6,Manaus,1053,51
2020-04-13,1302603,53,9,Manaus,1106,60
2020-04-14,1302603,189,21,Manaus,1295,81
2020-04-15,1302603,55,11,Manaus,1350,92
2020-04-16,1302603,109,15,Manaus,1459,107
2020-04-17,1302603,72,20,Manaus,1531,127
2020-04-18,1302603,62,7,Manaus,1593,134
2020-04-19,1302603,71,21,Manaus,1664,155
2020-04-20,1302603,108,1,Manaus,1772,156
2020-04-21,1302603,37,7,Manaus,1809,163
2020-04-22,1302603,149,9,Manaus,1958,172
2020-04-23,1302603,328,21,Manaus,2286,193
2020-04-24,1302603,195,14,Manaus,2481,207
2020-04-25,1302603,197,26,Manaus,2678,233
2020-04-26,1302603,44,13,Manaus,2722,246
2020-04-27,1302603,16,10,Manaus,2738,256
2020-04-28,1302603,161,18,Manaus,2899,274
2020-04-29,1302603,192,14,Manaus,3091,288
2020-04-30,1302603,182,24,Manaus,3273,312
2020-05-01,1302603,218,45,Manaus,3491,357
2020-05-02,1302603,167,11,Manaus,3658,368
2020-05-03,1302603,414,28,Manaus,4072,396
2020-05-04,1302603,272,22,Manaus,4344,418
2020-05-05,1302603,460,41,Manaus,4804,459
2020-05-06,1302603,670,73,Manaus,5474,532
2020-05-07,1302603,423,31,Manaus,5897,563
2020-05-08,1302603,137,41,Manaus,6034,604
2020-05-09,1302603,709,56,Manaus,6743,660
2020-05-10,1302603,455,20,Manaus,7198,680
2020-05-11,1302603,66,11,Manaus,7264,691
2020-05-12,1302603,613,35,Manaus,7877,726
2020-05-13,1302603,753,31,Manaus,8630,757
2020-05-14,1302603,780,52,Manaus,9410,809
2020-05-15,1302603,303,79,Manaus,9713,888
2020-05-16,1302603,584,32,Manaus,10297,920
2020-05-17,1302603,110,29,Manaus,10407,949
2020-05-18,1302603,253,2,Manaus,10660,951
2020-05-19,1302603,391,48,Manaus,11051,999
2020-05-20,1302603,592,58,Manaus,11643,1057
2020-05-21,1302603,674,37,Manaus,12317,1094
2020-05-22,1302603,650,33,Manaus,12967,1127
2020-05-23,1302603,657,49,Manaus,13624,1176
2020-05-24,1302603,257,6,Manaus,13881,1182
2020-05-25,1302603,98,8,Manaus,13979,1190
2020-05-26,1302603,423,58,Manaus,14402,1248
2020-05-27,1302603,398,24,Manaus,14800,1272
2020-05-28,1302603,969,42,Manaus,15769,1314
2020-05-29,1302603,1723,35,Manaus,17492,1349
2020-05-30,1302603,647,17,Manaus,18139,1366
2020-05-31,1302603,154,0,Manaus,18293,1366
2020-06-01,1302603,74,5,Manaus,18367,1371
2020-06-02,1302603,614,19,Manaus,18981,1390
2020-06-03,1302603,62,17,Manaus,19043,1407
2020-06-04,1302603,919,10,Manaus,19962,1417
2020-06-05,1302603,460,15,Manaus,20422,1432
2020-06-06,1302603,363,30,Manaus,20785,1462
2020-06-07,1302603,52,4,Manaus,20837,1466
2020-06-08,1302603,111,9,Manaus,20948,1475
2020-06-09,1302603,657,26,Manaus,21605,1501
2020-06-10,1302603,554,33,Manaus,22159,1534
2020-06-11,1302603,345,26,Manaus,22504,1560
2020-06-12,1302603,131,16,Manaus,22635,1576
2020-06-13,1302603,259,20,Manaus,22894,1596
2020-06-14,1302603,207,18,Manaus,23101,1614
2020-06-15,1302603,37,6,Manaus,23138,1620
2020-06-16,1302603,474,25,Manaus,23612,1645
2020-06-17,1302603,477,15,Manaus,24089,1660
2020-06-18,1302603,65,18,Manaus,24154,1678
2020-06-19,1302603,427,7,Manaus,24581,1685
2020-06-20,1302603,397,21,Manaus,24978,1706
2020-06-21,1302603,125,5,Manaus,25103,1711
2020-06-22,1302603,50,8,Manaus,25153,1719
2020-06-23,1302603,557,8,Manaus,25710,1727
2020-06-24,1302603,443,8,Manaus,26153,1735
2020-06-25,1302603,330,8,Manaus,26483,1743
2020-06-26,1302603,300,4,Manaus,26783,1747
2020-06-27,1302603,59,21,Manaus,26842,1768
2020-06-28,1302603,280,2,Manaus,27122,1770
2020-06-29,1302603,10,1,Manaus,27132,1771
2020-06-30,1302603,37,19,Manaus,27169,1790
2020-07-01,1302603,651,14,Manaus,27820,1804
2020-07-02,1302603,308,6,Manaus,28128,1810
2020-07-03,1302603,321,16,Manaus,28449,1826
2020-07-04,1302603,330,17,Manaus,28779,1843
2020-07-05,1302603,75,2,Manaus,28854,1845
2020-07-06,1302603,17,2,Manaus,28871,1847
2020-07-07,1302603,285,6,Manaus,29156,1853
2020-07-08,1302603,240,7,Manaus,29396,1860
2020-07-09,1302603,440,10,Manaus,29836,1870
2020-07-10,1302603,333,14,Manaus,30169,1884
2020-07-11,1302603,28,7,Manaus,30197,1891
2020-07-12,1302603,20,14,Manaus,30217,1905
2020-07-13,1302603,423,4,Manaus,30640,1909
2020-07-14,1302603,413,5,Manaus,31053,1914
2020-07-15,1302603,215,8,Manaus,31268,1922
2020-07-16,1302603,38,6,Manaus,31306,1928
2020-07-17,1302603,44,19,Manaus,31350,1947
2020-07-18,1302603,744,2,Manaus,32094,1949
2020-07-19,1302603,133,14,Manaus,32227,1963
2020-07-20,1302603,32,-6,Manaus,32259,1957
2020-07-21,1302603,184,7,Manaus,32443,1964
2020-07-22,1302603,53,10,Manaus,32496,1974
2020-07-23,1302603,604,3,Manaus,33100,1977
2020-07-24,1302603,464,1,Manaus,33564,1978
2020-07-25,1302603,21,7,Manaus,33585,1985
2020-07-26,1302603,12,2,Manaus,33597,1987
2020-07-27,1302603,504,1,Manaus,34101,1988
2020-07-28,1302603,350,7,Manaus,34451,1995
2020-07-29,1302603,375,6,Manaus,34826,2001
2020-07-30,1302603,443,2,Manaus,35269,2003
2020-07-31,1302603,323,10,Manaus,35592,2013
2020-08-01,1302603,395,3,Manaus,35987,2016
2020-08-02,1302603,43,3,Manaus,36030,2019
2020-08-03,1302603,22,2,Manaus,36052,2021
2020-08-04,1302603,347,6,Manaus,36399,2027
2020-08-05,1302603,272,9,Manaus,36671,2036
2020-08-06,1302603,276,4,Manaus,36947,2040
2020-08-07,1302603,271,3,Manaus,37218,2043
2020-08-08,1302603,49,7,Manaus,37267,2050
2020-08-09,1302603,312,1,Manaus,37579,2051
2020-08-10,1302603,58,19,Manaus,37637,2070
2020-08-11,1302603,358,17,Manaus,37995,2087
2020-08-12,1302603,352,9,Manaus,38347,2096
2020-08-13,1302603,397,11,Manaus,38744,2107
2020-08-14,1302603,293,16,Manaus,39037,2123
2020-08-15,1302603,7,1,Manaus,39044,2124
2020-08-16,1302603,376,16,Manaus,39420,2140
2020-08-17,1302603,143,19,Manaus,39563,2159
2020-08-18,1302603,203,17,Manaus,39766,2176
2020-08-19,1302603,284,5,Manaus,40050,2181
2020-08-20,1302603,316,7,Manaus,40366,2188
2020-08-21,1302603,94,1,Manaus,40460,2189
2020-08-22,1302603,313,1,Manaus,40773,2190
2020-08-23,1302603,66,5,Manaus,40839,2195
2020-08-24,1302603,20,3,Manaus,40859,2198
2020-08-25,1302603,343,11,Manaus,41202,2209
2020-08-26,1302603,339,10,Manaus,41541,2219
2020-08-27,1302603,221,13,Manaus,41762,2232
2020-08-28,1302603,332,11,Manaus,42094,2243
2020-08-29,1302603,252,1,Manaus,42346,2244
2020-08-30,1302603,52,2,Manaus,42398,2246
2020-08-31,1302603,48,2,Manaus,42446,2248
2020-09-01,1302603,244,3,Manaus,42690,2251
2020-09-02,1302603,443,148,Manaus,43133,2399
2020-09-03,1302603,274,2,Manaus,43407,2401
2020-09-04,1302603,265,3,Manaus,43672,2404
2020-09-05,1302603,271,4,Manaus,43943,2408
2020-09-06,1302603,38,1,Manaus,43981,2409
2020-09-07,1302603,22,0,Manaus,44003,2409
2020-09-08,1302603,65,2,Manaus,44068,2411
2020-09-09,1302603,330,4,Manaus,44398,2415
2020-09-10,1302603,311,4,Manaus,44709,2419
2020-09-11,1302603,312,5,Manaus,45021,2424
2020-09-12,1302603,306,3,Manaus,45327,2427
2020-09-13,1302603,69,1,Manaus,45396,2428
2020-09-14,1302603,65,3,Manaus,45461,2431
2020-09-15,1302603,448,4,Manaus,45909,2435
2020-09-16,1302603,327,5,Manaus,46236,2440
2020-09-17,1302603,368,3,Manaus,46604,2443
2020-09-18,1302603,507,13,Manaus,47111,2456
2020-09-19,1302603,373,4,Manaus,47484,2460
2020-09-20,1302603,75,0,Manaus,47559,2460
2020-09-21,1302603,40,2,Manaus,47599,2462
2020-09-22,1302603,378,0,Manaus,47977,2462
2020-09-23,1302603,412,14,Manaus,48389,2476
2020-09-24,1302603,364,5,Manaus,48753,2481
2020-09-25,1302603,484,6,Manaus,49237,2487
2020-09-26,1302603,660,20,Manaus,49897,2507
2020-09-27,1302603,62,2,Manaus,49959,2509
2020-09-28,1302603,57,1,Manaus,50016,2510
2020-09-29,1302603,846,2,Manaus,50862,2512
2020-09-30,1302603,763,4,Manaus,51625,2516
2020-10-01,1302603,414,115,Manaus,52039,2631
2020-10-02,1302603,592,2,Manaus,52631,2633
2020-10-03,1302603,579,6,Manaus,53210,2639
2020-10-04,1302603,97,3,Manaus,53307,2642
2020-10-05,1302603,64,7,Manaus,53371,2649
2020-10-06,1302603,523,5,Manaus,53894,2654
2020-10-07,1302603,398,8,Manaus,54292,2662
2020-10-08,1302603,368,6,Manaus,54660,2668
2020-10-09,1302603,523,5,Manaus,55183,2673
2020-10-10,1302603,426,10,Manaus,55609,2683
2020-10-11,1302603,254,2,Manaus,55863,2685
2020-10-12,1302603,-106,6,Manaus,55757,2691
2020-10-13,1302603,135,3,Manaus,55892,2694
2020-10-14,1302603,330,12,Manaus,56222,2706
