date,ibgeID,newCases,newDeaths,city,totalCases,totalDeaths
2020-04-01,3550308,533,23,São Paulo,2418,144
2020-04-02,3550308,397,20,São Paulo,2815,164
2020-04-03,3550308,387,22,São Paulo,3202,186
2020-04-04,3550308,294,26,São Paulo,3496,212
2020-04-05,3550308,116,8,São Paulo,3612,220
2020-04-06,3550308,142,24,São Paulo,3754,244
2020-04-07,3550308,504,52,São Paulo,4258,296
2020-04-08,3550308,689,43,São Paulo,4947,339
2020-04-09,3550308,530,45,São Paulo,5477,384
2020-04-10,3550308,505,25,São Paulo,5982,409
2020-04-11,3550308,149,13,São Paulo,6131,422
2020-04-12,3550308,221,23,São Paulo,6352,445
2020-04-13,3550308,66,11,São Paulo,6418,456
2020-04-14,3550308,287,56,São Paulo,6705,512
2020-04-15,3550308,1059,46,São Paulo,7764,558
2020-04-16,3550308,144,45,São Paulo,7908,603
2020-04-17,3550308,836,40,São Paulo,8744,643
2020-04-18,3550308,684,43,São Paulo,9428,686
2020-04-19,3550308,240,14,São Paulo,9668,700
2020-04-20,3550308,147,15,São Paulo,9815,715
2020-04-21,3550308,527,38,São Paulo,10342,753
2020-04-22,3550308,349,25,São Paulo,10691,778
2020-04-23,3550308,534,134,São Paulo,11225,912
2020-04-24,3550308,575,98,São Paulo,11800,1010
2020-04-25,3550308,1298,89,São Paulo,13098,1099
2020-04-26,3550308,415,15,São Paulo,13513,1114
2020-04-27,3550308,476,58,São Paulo,13989,1172
2020-04-28,3550308,1408,149,São Paulo,15397,1321
2020-04-29,3550308,1241,118,São Paulo,16638,1439
2020-04-30,3550308,1511,83,São Paulo,18149,1522
2020-05-01,3550308,938,85,São Paulo,19087,1607
2020-05-02,3550308,407,54,São Paulo,19494,1661
2020-05-03,3550308,328,12,São Paulo,19822,1673
2020-05-04,3550308,251,10,São Paulo,20073,1683
2020-05-05,3550308,1067,118,São Paulo,21140,1801
2020-05-06,3550308,2047,109,São Paulo,23187,1910
2020-05-07,3550308,1086,76,São Paulo,24273,1986
2020-05-08,3550308,1094,124,São Paulo,25367,2110
2020-05-09,3550308,1420,113,São Paulo,26787,2223
2020-05-10,3550308,520,43,São Paulo,27307,2266
2020-05-11,3550308,464,15,São Paulo,27771,2281
2020-05-12,3550308,911,124,São Paulo,28682,2405
2020-05-13,3550308,1720,89,São Paulo,30402,2494
2020-05-14,3550308,1471,102,São Paulo,31873,2596
2020-05-15,3550308,2119,78,São Paulo,33992,2674
2020-05-16,3550308,1437,118,São Paulo,35429,2792
2020-05-17,3550308,502,43,São Paulo,35931,2835
2020-05-18,3550308,257,21,São Paulo,36188,2856
2020-05-19,3550308,1452,173,São Paulo,37640,3029
2020-05-20,3550308,1826,106,São Paulo,39466,3135
2020-05-21,3550308,1985,103,São Paulo,41451,3238
2020-05-22,3550308,1522,114,São Paulo,42973,3352
2020-05-23,3550308,1914,139,São Paulo,44887,3491
2020-05-24,3550308,640,43,São Paulo,45527,3534
2020-05-25,3550308,677,21,São Paulo,46204,3555
2020-05-26,3550308,1350,136,São Paulo,47554,3691
2020-05-27,3550308,1710,135,São Paulo,49264,3826
2020-05-28,3550308,3455,132,São Paulo,52719,3958
2020-05-29,3550308,3022,158,São Paulo,55741,4116
2020-05-30,3550308,2878,123,São Paulo,58619,4239
2020-05-31,3550308,1512,41,São Paulo,60131,4280
2020-06-01,3550308,995,24,São Paulo,61126,4304
2020-06-02,3550308,3317,139,São Paulo,64443,4443
2020-06-03,3550308,2334,121,São Paulo,66777,4564
2020-06-04,3550308,2570,111,São Paulo,69347,4675
2020-06-05,3550308,2106,130,São Paulo,71453,4805
2020-06-06,3550308,2408,96,São Paulo,73861,4901
2020-06-07,3550308,935,19,São Paulo,74796,4920
2020-06-08,3550308,903,17,São Paulo,75699,4937
2020-06-09,3550308,2327,136,São Paulo,78026,5073
2020-06-10,3550308,2431,159,São Paulo,80457,5232
2020-06-11,3550308,2619,125,São Paulo,83076,5357
2020-06-12,3550308,2546,123,São Paulo,85622,5480
2020-06-13,3550308,2403,119,São Paulo,88025,5599
2020-06-14,3550308,3173,24,São Paulo,91198,5623
2020-06-15,3550308,2250,29,São Paulo,93448,5652
2020-06-16,3550308,4228,167,São Paulo,97676,5819
2020-06-17,3550308,456,140,São Paulo,98132,5959
2020-06-18,3550308,398,138,São Paulo,98530,6097
2020-06-19,3550308,6877,158,São Paulo,105407,6255
2020-06-20,3550308,184,116,São Paulo,105591,6371
2020-06-21,3550308,949,16,São Paulo,106540,6387
2020-06-22,3550308,1191,17,São Paulo,107731,6404
2020-06-23,3550308,2483,179,São Paulo,110214,6583
2020-06-24,3550308,3047,92,São Paulo,113261,6675
2020-06-25,3550308,4050,119,São Paulo,117311,6794
2020-06-26,3550308,3852,86,São Paulo,121163,6880
2020-06-27,3550308,1596,102,São Paulo,122759,6982
2020-06-28,3550308,1346,21,São Paulo,124105,7003
2020-06-29,3550308,907,23,São Paulo,125012,7026
2020-06-30,3550308,2107,136,São Paulo,127119,7162
2020-07-01,3550308,2209,96,São Paulo,129328,7258
2020-07-02,3550308,5656,112,São Paulo,134984,7370
2020-07-03,3550308,2090,109,São Paulo,137074,7479
2020-07-04,3550308,688,118,São Paulo,137762,7597
2020-07-05,3550308,2109,24,São Paulo,139871,7621
2020-07-06,3550308,360,13,São Paulo,140231,7634
2020-07-07,3550308,2271,109,São Paulo,142502,7743
2020-07-08,3550308,2071,121,São Paulo,144573,7864
2020-07-09,3550308,2166,100,São Paulo,146739,7964
2020-07-10,3550308,2692,125,São Paulo,149431,8089
2020-07-11,3550308,1934,87,São Paulo,151365,8176
2020-07-12,3550308,1441,36,São Paulo,152806,8212
2020-07-13,3550308,1207,19,São Paulo,154013,8231
2020-07-14,3550308,4789,105,São Paulo,158802,8336
2020-07-15,3550308,1524,115,São Paulo,160326,8451
2020-07-16,3550308,1916,134,São Paulo,162242,8585
2020-07-17,3550308,1382,111,São Paulo,163624,8696
2020-07-18,3550308,1470,74,São Paulo,165094,8770
2020-07-19,3550308,979,8,São Paulo,166073,8778
2020-07-20,3550308,275,21,São Paulo,166348,8799
2020-07-21,3550308,1453,121,São Paulo,167801,8920
2020-07-22,3550308,3318,105,São Paulo,171119,9025
2020-07-23,3550308,2591,73,São Paulo,173710,9098
2020-07-24,3550308,2480,58,São Paulo,176190,9156
2020-07-25,3550308,2925,49,São Paulo,179115,9205
2020-07-26,3550308,662,17,São Paulo,179777,9222
2020-07-27,3550308,2250,19,São Paulo,182027,9241
2020-07-28,3550308,3681,77,São Paulo,185708,9318
2020-07-29,3550308,3119,78,São Paulo,188827,9396
2020-07-30,3550308,4857,74,São Paulo,193684,9470
2020-07-31,3550308,3876,79,São Paulo,197560,9549
2020-08-01,3550308,2114,70,São Paulo,199674,9619
2020-08-02,3550308,770,15,São Paulo,200444,9634
2020-08-03,3550308,261,10,São Paulo,200705,9644
2020-08-04,3550308,2574,58,São Paulo,203279,9702
2020-08-05,3550308,2823,104,São Paulo,206102,9806
2020-08-06,3550308,3457,103,São Paulo,209559,9909
2020-08-07,3550308,1910,103,São Paulo,211469,10012
2020-08-08,3550308,2038,73,São Paulo,213507,10085
2020-08-09,3550308,587,14,São Paulo,214094,10099
2020-08-10,3550308,235,8,São Paulo,214329,10107
2020-08-11,3550308,2915,114,São Paulo,217244,10221
2020-08-12,3550308,6896,90,São Paulo,224140,10311
2020-08-13,3550308,7063,142,São Paulo,231203,10453
2020-08-14,3550308,2784,110,São Paulo,233987,10563
2020-08-15,3550308,1532,29,São Paulo,235519,10592
2020-08-16,3550308,347,13,São Paulo,235866,10605
2020-08-17,3550308,297,20,São Paulo,236163,10625
2020-08-18,3550308,1771,75,São Paulo,237934,10700
2020-08-19,3550308,2181,61,São Paulo,240115,10761
2020-08-20,3550308,1649,102,São Paulo,241764,10863
2020-08-21,3550308,825,73,São Paulo,242589,10936
2020-08-22,3550308,3903,67,São Paulo,246492,11003
2020-08-23,3550308,911,20,São Paulo,247403,11023
2020-08-24,3550308,327,8,São Paulo,247730,11031
2020-08-25,3550308,2441,110,São Paulo,250171,11141
2020-08-26,3550308,1892,74,São Paulo,252063,11215
2020-08-27,3550308,2083,63,São Paulo,254146,11278
2020-08-28,3550308,2365,66,São Paulo,256511,11344
2020-08-29,3550308,0,0,São Paulo,256511,11344
2020-08-30,3550308,1267,56,São Paulo,257778,11400
2020-08-31,3550308,171,8,São Paulo,257949,11408
2020-09-01,3550308,3042,70,São Paulo,260991,11478
2020-09-02,3550308,1579,76,São Paulo,262570,11554
